fid,item_id,lon,lat,Year
625,2237,0.51,12.82,After 2000
626,2260,-118.5,34.35,After 2000
627,2275,-40,-16.3,After 2000
628,2276,-101.55,35.71,After 2000
629,2277,-44.08,-22.98,After 2000
630,2278,-80.58,7.67,After 2000
632,2278,-82.87,8.04,After 2000
633,2278,-77.65,8.4,After 2000
634,2278,-80.42,8.65,After 2000
635,2278,-82.44,8.78,After 2000
636,2278,-78.45,8.79,After 2000
638,2278,-79.68,9.08,After 2000
639,2278,-78.34,9.3,After 2000
631,2278,-81.14,7.8,After 2000
637,2278,-80.58,9.08,After 2000
640,2279,-62.51,-8,After 2000
641,2280,-42.67,-20.55,After 2000
642,2281,-74.82,6.2,After 2000
643,2281,-74.92,6.27,After 2000
644,2282,-48.52,-22.3,After 2000
645,2302,47.1,39.43,After 2000
646,2311,83.82,27.3,After 2000
647,2314,116.5,-34.2,After 2000
648,2314,115.87,-32.12,After 2000
649,2314,115.81,-31.96,After 2000
650,2314,80.08,44.1,After 2000
651,2314,76.68,45.47,After 2000
652,2322,-81.67,33.25,After 2000
653,2327,-78.15,38.93,After 2000
654,2327,-158.75,59.27,After 2000
655,2327,-158.83,59.29,After 2000
656,2327,-147.77,65,After 2000
657,2336,-122.7,38.73,After 2000
658,2348,139.27,36.64,After 2000
659,2350,22.9,-19.28,After 2000
660,2350,11.5,-0.5,After 2000
661,2350,12.63,0.09,After 2000
662,2352,-47.55,-22.4,After 2000
663,2352,-49.7,-22.4,After 2000
664,2353,-49.72,-22.37,After 2000
665,2369,2.32,39.58,After 2000
666,2371,-72.99,-36.88,After 2000
667,2382,-88.66,16.72,After 2000
668,2387,122.99,-5.31,After 2000
669,2387,122.99,-5.28,After 2000
670,2387,133.97,-1.08,After 2000
671,2387,127.83,0.34,After 2000
672,2387,125.16,1.56,After 2000
674,2391,97.5,3,Before 2000
675,2391,97.83,3.33,Before 2000
673,2391,105.33,-6.67,Before 2000
676,2395,-69.5,-9,After 2000
677,2396,-65.35,-4.89,After 2000
678,2397,-42.77,-22.45,After 2000
679,2399,-71.83,4.03,After 2000
680,2401,-46.94,-23.23,After 2000
681,2406,34.5,-18.77,After 2000
682,2409,125.5,-16.4,After 2000
683,2415,-158.67,59.33,After 2000
684,2419,-71.46,-39.58,After 2000
685,2423,129.37,28.33,After 2000
686,2425,29.68,-1.02,After 2000
687,2425,29.88,-0.55,After 2000
688,2425,30.08,-0.41,After 2000
689,2425,30.25,-0.25,After 2000
690,2425,30.08,-0.14,After 2000
691,2425,29.95,0.37,After 2000
692,2425,30.4,0.5,After 2000
693,2427,176.25,-38.92,After 2000
694,2427,175.67,-38.17,After 2000
696,2428,-126.62,50.2,After 2000
695,2428,-124.67,50.08,After 2000
697,2432,117.41,5.35,After 2000
698,2432,117.22,5.44,After 2000
699,2433,-6.35,42.02,After 2000
700,2434,-82,29.56,After 2000
701,2434,-82.33,29.59,After 2000
702,2436,-100.52,36.8,After 2000
703,2443,-110.5,44.6,After 2000
704,2449,-98.12,28.33,After 2000
705,2454,-116,51.5,After 2000
706,2455,119.62,-33.95,After 2000
707,2457,-84,10.43,After 2000
708,2463,-53,-18,After 2000
709,2467,-42.55,-8.67,After 2000
710,2479,-31.12,39.67,After 2000
711,2488,-158.26,21.56,After 2000
712,2496,47.42,-21.22,After 2000
713,2502,-77.8,0.05,After 2000
714,2506,-47.87,-21.74,After 2000
715,2506,-47.58,-21.52,After 2000
716,2507,33.12,0.4,After 2000
717,2507,30.4,0.5,After 2000
718,2507,31.55,1.72,After 2000
719,2513,-3.83,38.37,After 2000
720,2513,-4.49,39.38,After 2000
721,2516,47.42,-21.22,After 2000
722,2516,49.23,-17.89,After 2000
723,2516,50.05,-15.3,After 2000
724,2521,113.94,22.27,After 2000
725,2521,114.15,22.39,After 2000
726,2521,114.14,22.41,After 2000
727,2521,114.18,22.43,After 2000
728,2521,114.13,22.44,After 2000
729,2527,101.73,13.2,After 2000
730,2537,-68.13,-47.68,After 2000
731,2537,-68,-47.66,After 2000
732,2537,-67.97,-47.58,After 2000
733,2544,-108.08,68.35,After 2000
735,2551,151.15,-23.62,After 2000
734,2551,146.98,-39.22,After 2000
736,2562,151.21,-29.61,After 2000
737,2586,140.41,-27.69,After 2000
738,2593,115.77,-32.48,After 2000
739,2593,115.85,-32.09,After 2000
740,2594,145,-36.92,After 2000
741,2595,151.7,-31.7,After 2000
742,2597,148.83,-37.46,After 2000
743,2598,145.58,-17.6,After 2000
744,2598,145.57,-17.57,After 2000
745,2598,145.58,-17.1,After 2000
746,2605,149.53,-35.82,After 2000
747,2607,151.06,-34.07,After 2000
748,2608,149.23,-35.27,Before 2000
749,2610,30.56,25.44,After 2000
750,2624,148.06,-42.65,After 2000
751,2627,153.13,-25.22,After 2000
752,2631,-71.5,-41,After 2000
753,2643,141.45,-38.13,After 2000
754,2643,141.29,-38.07,After 2000
755,2644,142.1,-37.48,After 2000
756,2644,142.28,-37.37,After 2000
757,2644,142.15,-37.35,After 2000
758,2647,-4.62,37.57,After 2000
759,2647,-4.28,37.97,After 2000
